subway_id,name,address,lat,lng,waze,business_hours
11,Subway Berjaya Times Square,"Lot 03-103, 3rd Floor, Berjaya Times Square, No. 1, Jalan Imbi, Kuala Lumpur, 55100",3.142198,101.710551,"https://www.waze.com/en/live-map/directions/subway-berjaya-times-square-lot-03-103,-3rd-floor,-berjaya-times-square-kuala-lumpur?place=w.66650143.666566970.27413449","Monday - Sunday, 10:00 AM - 10:00 PM"
12,Subway Capsquare,"Ground Floor, Unit 01-02, Cap Square Tower, 10 Jalan Munshi Abdullah, Kuala Lumpur, 50100",3.154416,101.698823,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-capsquare?place=ChIJy-MVCLdJzDER31pWsrn_WZE,"Monday - Saturday, 8:00 AM – 9:00PM; Sunday, Closed"
13,Subway Aeon AU2,"Aeon AU2 Shopping Center, 6, Jln 37/36 Taman Setiawangsa, Lot G49, Taman Keramat, Kuala Lumpur, 54200",3.177185,101.750558,https://www.waze.com/en/live-map/directions/subway-aeon-au2-aeon-au2-shopping-center-kuala-lumpur?place=w.66715680.666829118.27413005,"Monday - Sunday, 10:00 AM - 10:00 PM"
14,Subway Lotus Setia Alam (LSA),"G14 Grd Floor Tesco Setia Alam, No.2 Jalan Setia Prima, U13/3 Seksyen 13, Shah Alam, 40170",3.099881,101.444419,https://ul.waze.com/ul?place=ChIJBb6IKftTzDERwi2y4LrXS-w&ll=3.10733220%2C101.44469690&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,"Monday - Sunday, 10:00 AM - 10:00 PM"
15,Subway Aeon Big Subang,"F1-23 AEON BIG, Level 1 No.3 Jalan SS 16/1,Subang Jaya, Selangor 47500 ",3.08258,101.588016,"https://www.waze.com/en/live-map/directions/subway-aeon-big-f1-23-aeon-big,-level-1-no.3-subang-jaya?place=w.66584607.665780532.27413993","Monday - Sunday, 9:00 AM - 10:00 PM"
16,Subway University Malaya,"Faculty of Dentistry, Level 1, Block B, University of Malaya, Kuala Lumpur, 50603",3.121723,101.653684,https://www.waze.com/en/live-map/directions/subway-university-of-malaya-university-of-malaya-faculty-of-dentistry-petaling-jaya?place=w.66650143.666173751.27402188,"Monday - Friday, 6:30 AM – 10:00PM; Saturday & Sunday, 8:00 AM – 3:00PM"
17,Subway Jade Hills,"No 40-G, Jalan Jade Hills Utama 1/2, Commerce Village, Jade Hills, 43000 Kajang, Selangor. ",2.994114,101.758669,https://www.waze.com/en/live-map/directions/my/selangor/kajang/subway-jade-hill?place=ChIJuRzJknvLzTERiX5pZXHT0gw,
18,Subway Wangsa Walk,"Wangsa Ave, Bandar Wangsa Maju, #9 Jalan Perdana 1, G-52, Wangsa Walk Mall, Kuala Lumpur, 53300",3.198582,101.742206,"https://www.waze.com/en/live-map/directions/subway-wangsa-walk-mall-g-52,-wangsa-walk-mall-kuala-lumpur?place=w.66650144.666763584.27401138","Monday - Sunday, 9:30 AM - 9:30 PM"
19,Subway TTDI,"Lvl1, Petronas Svs Station TTDI,Lot29395 & 29396, Pinggir Zaaba, Taman Tun Dr Ismail, Kuala Lumpur, 60000",3.141958,101.625217,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-pinggir-zaaba-taman-tun?place=ChIJuRYqITBJzDER76oB2espXlU,"Monday - Sunday, 8:30 AM - 9:00 PM"
20,Subway Plaza Shah Alam,"Lot No. G 17, Ground Floor, Plaza Shah Alam, Sekysen 9, Shah Alam, 40100",3.084338,101.523317,"https://www.waze.com/en/live-map/directions/subway-@plaza-shah-alam-lot-g17,-plaza-shah-alam?place=w.66519071.665321780.27398400","Monday - Sunday, 9:30 AM – 09:30PM"
21,Subway Taipan,"7A, Jalan USJ 10/1j, Taipan Business Centre, 47620 Subang Jaya, Selangor",3.047932,101.586015,https://www.waze.com/en/live-map/directions/subway-taipan-jalan-usj-101j-7-subang-jaya?place=w.66584606.665780529.2845552,"Monday - Sunday, 8:00 AM - 8:00 PM"
22,Subway Menara Aras Jaya,"LG Floor, Menara Bumiputra Commerce, No 11, Jalan Raja Laut, 50350 Kuala Lumpur",3.155606,101.695688,"https://www.waze.com/en/live-map/directions/subway-cimb-cimb-11-jalan-raja-laut,-lower-ground-floor-kuala-lumpur?place=w.66650144.666501436.27395039","Monday - Friday, 8:00 AM – 9:00PM; Saturday & Sunday, 10:00 AM – 7:00PM"
23,Subway Petronas Ampang Point,"Petronas Gas Station/C-Store, Lot 36904 TT27423, Jalan Air Kolam Lama, Ampang, 68000",3.160388,101.75601,"https://waze.com/ul?ll=3.160388,101.756010","Monday - Sunday, 8:30 AM - 9:00 PM"
24,Subway Tesco Kepong,"Tesco Kepong Village Mall, Lot No. 14, 1st Floor, No. 3 Jalan 7A/62A Bandar Manjalara, Kuala Lumpur, 52200",3.194423,101.633699,"https://www.waze.com/en/live-map/directions/subway-lotuss-kepong-village-lot-no.-14,-1st-floor,-lotuss-kepong-village-mall-kuala-lumpur?place=w.66584608.666042687.27399057","Monday - Sunday, 10:15 AM - 9:30 PM"
25,Subway Jalan Ipoh,"No. 447, Jalan Ipoh, Batu 3, Taman Million, 51200 Kuala Lumpur",3.178158,101.685121,"https://www.waze.com/en/live-map/directions/subway-rivercity-village-468-1(1),-ground-floor,-block-f-rivercity-village-kuala-lumpur?place=w.66650144.666370366.16193787","Monday - Sunday, 8:00 AM - 10:00 PM"
26,Subway SS7,"#15G Jalan Plumbum R7/R, Pusat Komersial Seksyen 7, Shah Alam, 40000",3.067989,101.489526,https://www.waze.com/en/live-map/directions/my/selangor/shah-alam/subway?place=ChIJK0pwYPpSzDERPDlCo9f-iqY,"Monday - Sunday, 8:00 AM - 9:30 PM"
27,Subway Selayang Mall,"Selayang Mall, GSW .5A, Ground Floor, Batu Caves, 68100",3.237131,101.643784,"https://www.waze.com/en/live-map/directions/subway-selayang-mall-5a,-ground-floor,-selayang-mall-batu-caves?place=w.66584608.666108228.27398140","Monday - Sunday, 9:00 AM - 10:00 PM"
28,Subway Aeon Bukit Tinggi,"AEON Bukit Tinggi Shopping Ctr, No 1 Persiaran Batu Nilam, 1/KS6 Bandar Bukit Tinggi 2, Klang, 41050",2.99451,101.444207,https://www.waze.com/en/live-map/directions/subway-aeon-bukit-tinggi-lot-s31-2nd-floor-aeon-bukit-tinggi-klang?place=w.66453534.664863019.27399113,"Sunday - Thursday, 10:00 AM – 10:00PM; Friday & Saturday, 8:00 AM – 10:30PM"
29,Subway AEON BIG Puchong,"AEON BIG Shopping Center, Lot No G04 Ground Floor, Lot 4029 Persiaran Selangor, Puchong Utama, 47100",2.991741,101.615601,https://ul.waze.com/ul?preview_venue_id=66584606.665911595.26934483&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,"Monday - Sunday, 10:00 AM - 10:00 PM"
30,Subway Seksyen 13,"Tadisma Business Park, Seksyen 13, 40100 Shah Alam, Selangor",3.089032,101.546357,"https://waze.com/ul?ll=3.089032,101.546357",Monday - Sunday (9:30AM - 10:30PM)
